จบจากโรงเรียน,Central,East,North,Northeast,South,western
กกตูมประชาสรรค์รัชมังคลาภิเษก,0,0,0,1,0,0
กบินทร์วิทยา,0,1,0,0,0,0
กมลาไสย,0,0,0,1,0,0
กรรณสูตศึกษาลัย,1,0,0,0,0,0
กระบุรีวิทยา,0,0,0,0,1,0
กระสังพิทยาคม,0,0,0,1,0,0
กรับใหญ่ว่องกุศลกิจพิทยาคม,0,0,0,0,0,1
กรุงหยันวิทยาคาร,0,0,0,0,1,0
กะเปอร์วิทยา,0,0,0,0,1,0
กันตังพิทยากร,0,0,0,0,1,0
กันทรลักษ์วิทยา,0,0,0,1,0,0
กันทรารมณ์,0,0,0,1,0,0
กัลยาณวัตร,0,0,0,1,0,0
กัลยาณีศรีธรรมราช,0,0,0,0,1,0
กาญจนดิษฐ์,0,0,0,0,1,0
กาญจนานุเคราะห์,0,0,0,0,0,1
กาญจนาภิเษกวิทยาลัยกระบี่,0,0,0,0,1,0
กาญจนาภิเษกวิทยาลัยกาฬสินธุ์,0,0,0,1,0,0
กาญจนาภิเษกวิทยาลัยฉะเชิงเทรา,0,1,0,0,0,0
กาญจนาภิเษกวิทยาลัยชัยภูมิ,0,0,0,1,0,0
กาญจนาภิเษกวิทยาลัยสุพรรณบุรี,1,0,0,0,0,0
กาญจนาภิเษกวิทยาลัยเพชรบูรณ์,1,0,0,0,0,0
กาวิละวิทยาลัย,0,0,1,0,0,0
กาฬสินธุ์พิทยาสรรพ์,0,0,0,1,0,0
กำแพง,0,0,0,1,0,0
กำแพงดินพิทยาคม,1,0,0,0,0,0
กำแพงเพชรพิทยาคม,1,0,0,0,0,0
กำแพงแสนวิทยา,1,0,0,0,0,0
กำแมดขันติธรรมวิทยาคม,0,0,0,1,0,0
กุดบากพัฒนาศึกษา,0,0,0,1,0,0
กุนนทีรุทธารามวิทยาคม,1,0,0,0,0,0
กุมภวาปี,0,0,0,1,0,0
ขนอมพิทยา,0,0,0,0,1,0
ขลุงรัชดาภิเษก,0,1,0,0,0,0
ขอนแก่นวิทยายน,0,0,0,1,0,0
ขาณุวิทยา,1,0,0,0,0,0
ขามทะเลสอวิทยา,0,0,0,1,0,0
ขุขันธ์,0,0,0,1,0,0
คงคาราม,0,0,0,0,0,1
คณะราษฎรบำรุงจังหวัดยะลา,0,0,0,0,1,0
คณะราษฎร์บำรุงปทุมธานี,1,0,0,0,0,0
คลองกิ่วยิ่งวิทยา,0,1,0,0,0,0
คลองลานวิทยา,1,0,0,0,0,0
คลองใหญ่วิทยาคม,0,1,0,0,0,0
คอนสวรรค์,0,0,0,1,0,0
คอนสารวิทยาคม,0,0,0,1,0,0
คำม่วง,0,0,0,1,0,0
คำสร้อยพิทยาสรรค์,0,0,0,1,0,0
คำเขื่อนแก้วชนูปถัมภ์,0,0,0,1,0,0
คำแสนวิทยาสรรค์,0,0,0,1,0,0
คิชฌกูฏวิทยา,0,1,0,0,0,0
คีรีมาศพิทยาคม,1,0,0,0,0,0
คีรีรัฐวิทยาคม,0,0,0,0,1,0
คุระบุรีชัยพัฒนาพิทยาคม,0,0,0,0,1,0
คุรุประชาสรรค์,1,0,0,0,0,0
คูเมืองวิทยาคม,0,0,0,1,0,0
จตุรพักตรพิมานรัชดาภิเษก,0,0,0,1,0,0
จอมพระประชาสรรค์,0,0,0,1,0,0
จอมสุรางค์อุปถัมภ์,1,0,0,0,0,0
จักรคำคณาทรจังหวัดลำพูน,0,0,1,0,0,0
จักราชวิทยา,0,0,0,1,0,0
จัตุรัสวิทยาคาร,0,0,0,1,0,0
จันทรุเบกษาอนุสรณ์,0,0,0,1,0,0
จันทร์ประดิษฐารามวิทยาคม,1,0,0,0,0,0
จันทร์หุ่นบำเพ็ญ,1,0,0,0,0,0
จันเสนเอ็งสุวรรณอนุสรณ์,1,0,0,0,0,0
จุนวิทยาคม,0,0,1,0,0,0
จ่านกร้อง,1,0,0,0,0,0
ฉวางรัชดาภิเษก,0,0,0,0,1,0
ชนแดนวิทยาคม,1,0,0,0,0,0
ชลกันยานุกูล,0,1,0,0,0,0
ชลราษฎรอำรุง,0,1,0,0,0,0
ชะอวด,0,0,0,0,1,0
ชะอำคุณหญิงเนื่องบุรี,0,0,0,0,0,1
ชัยนาทพิทยาคม,1,0,0,0,0,0
ชัยบาดาลวิทยา,1,0,0,0,0,0
ชัยภูมิภักดีชุมพล,0,0,0,1,0,0
