จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
สตรีวิทยา,356,356,0,0,3015,3015,82,107,57,27,23,0,0
มัธยมวัดเบญจมบพิตร,217,217,0,441,0,441,22,12,2,7,3,0,0
สวนกุหลาบวิทยาลัย,295,295,0,3109,0,3109,82,123,50,38,35,0,0
วัดราชาธิวาส,175,175,0,425,315,740,42,47,29,13,5,0,0
โยธินบูรณะ,,,,425,315,740,42,47,29,13,5,0,0
วัดบวรนิเวศ,154,110,44,309,0,309,13,11,2,4,5,0,0
วัดราชบพิธ,,,,309,0,309,13,11,2,4,5,0,0
วัดน้อยนพคุณ,92,89,3,198,270,468,23,22,8,3,10,1,0
เบญจมราชาลัยในพระบรมราชูปถัมภ์,269,269,0,0,1811,1811,49,63,12,25,26,0,0
ราชวินิตมัธยม,,,,0,1811,1811,49,63,12,25,26,0,0
มัธยมวัดมกุฏกษัตริย์,241,241,0,322,299,621,38,38,25,8,5,0,0
วัดสังเวช,79,79,0,89,56,145,10,7,1,4,2,0,0
เตรียมอุดมศึกษา,914,819,95,1731,2713,4444,107,173,47,93,31,2,0
วัดสระเกศ,60,52,8,240,0,240,15,9,4,4,1,0,0
เทพศิรินทร์ร่มเกล้า,170,170,170,3067,0,3067,70,115,47,40,28,0,0
สายปัญญาในพระบรมราชินูปถัมภ์,323,233,7,0,1218,1218,48,53,38,9,6,0,0
ไตรมิตรวิทยาลัย,133,130,3,910,0,910,37,41,25,9,7,0,0
สามเสนวิทยาลัย,,,,910,0,910,37,41,25,9,7,0,0
ศีลาจารพิพัฒน์,109,99,0,234,191,425,27,26,16,9,1,0,0
โยธินบูรณะ๒(สุวรรณสุทธาราม),110,105,5,209,158,367,20,19,8,3,8,0,0
ราชนันทาจารย์สามเสนวิทยาลัย2,,,,209,158,367,20,19,8,3,8,0,0
ศรีอยุธยาในพระอุปถัมภ์ฯ,370,270,0,1187,1803,2990,72,124,78,21,25,0,0
สันติราษฎร์วิทยาลัย,252,232,14,935,883,1818,58,77,54,15,8,0,0
มักกะสันพิทยา,138,133,0,125,110,235,15,13,1,4,8,0,0
ศึกษานารี,290,290,0,0,3270,3270,79,128,74,30,24,0,0
ทวีธาภิเศก,263,263,0,2563,0,2563,72,94,45,22,27,0,0
สุวรรณพลับพลาพิทยาคม,104,30,5,320,290,610,27,23,16,3,4,0,0
วัดอินทาราม,177,177,0,726,703,1429,51,64,50,11,3,0,0
วัดประดู่ในทรงธรรม,145,87,25,274,156,430,20,14,5,5,4,0,0
ทีปังกรวิทยาพัฒน์(วัดน้อยใน)ในพระราชูปถัมภ์ฯ,80,70,10,344,321,665,30,32,26,5,1,0,0
มัธยมวัดดาวคนอง,115,105,10,180,173,353,17,13,9,3,1,0,0
ฤทธิณรงค์รอน,172,162,0,342,347,689,28,26,18,5,3,0,0
โพธิสารพิทยากร,320,320,0,1241,1414,2655,66,99,32,37,30,0,0
ธนบุรีวรเทพีพลารักษ์,180,176,16,251,218,469,24,27,7,11,9,0,0
อุบลรัตนราชกัญญาราชวิทยาลัยกรุงเทพมหานคร,89,74,15,288,220,508,18,12,11,0,1,0,0
มหรรณพาราม,243,243,0,621,642,1263,36,53,35,7,11,0,0
ชิโนรสวิทยาลัย,230,230,0,945,1005,1950,69,85,57,17,11,0,0
สตรีวัดระฆัง,197,193,34,0,1731,1731,48,79,52,17,10,0,0
สุวรรณารามวิทยาคม,296,296,0,749,725,1474,47,72,50,17,5,0,0
มัธยมวัดดุสิตาราม,248,224,24,508,519,1027,36,48,24,21,3,0,0
มัธยมวัดนายโรง,0,310,0,612,501,1113,36,35,25,7,3,0,0
สวนอนันต์,170,110,40,124,100,224,13,12,0,9,3,0,0
พิทยาลงกรณ์พิทยาคม,74,36,28,193,135,328,15,10,9,1,0,0,0
รัตนโกสินทร์สมโภชบางขุนเทียน,443,443,0,1530,1803,3333,78,144,92,26,26,0,0
ทวีธาภิเศกบางขุนเทียน,156,156,50,752,484,1236,35,26,17,5,4,0,0
วัดนวลนรดิศ,,,,752,484,1236,35,26,17,5,4,0,0
วัดรางบัว,,,,752,484,1236,35,26,17,5,4,0,0
สตรีวัดอัปสรสวรรค์,651,651,0,0,2070,2070,57,78,52,20,6,0,0
ไชยฉิมพลีวิทยาคม,70,70,0,219,143,362,23,15,7,3,5,0,0
จันทร์ประดิษฐารามวิทยาคม,,,,219,143,362,23,15,7,3,5,0,0
มัธยมวัดหนองแขม,,,,219,143,362,23,15,7,3,5,0,0
บางปะกอกวิทยาคม,186,186,0,1275,1657,2932,77,98,50,28,20,0,0
แจงร้อนวิทยา,,,,1275,1657,2932,77,98,50,28,20,0,0
วัดบวรมงคล,,,,1275,1657,2932,77,98,50,28,20,0,0
วิมุตยารามพิทยากร,93,50,25,189,121,310,14,24,13,7,4,0,0
ปัญญาวรคุณ,400,400,0,847,880,1727,54,74,50,19,5,0,0
ราชวินิตบางแคปานขำ,320,307,13,866,816,1682,47,63,49,12,2,0,0
โรงเรียนทีปังกรวิทยาพัฒน์(ทวีวัฒนา)ในพระราชูปถัมภ์ฯ,180,180,0,998,998,1996,54,59,33,18,8,0,0
นวมินทราชินูทิศสตรีวิทยาพุทธมณฑล,,,,998,998,1996,54,59,33,18,8,0,0
วัดพุทธบูชา,102,77,25,971,1087,2058,54,62,37,17,8,0,0
อิสลามวิทยาลัยแห่งประเทศไทย,491,490,0,951,666,1617,46,72,38,20,14,0,0
ศึกษานารีวิทยา,,,,951,666,1617,46,72,38,20,14,0,0
นวลนรดิศวิทยาคมรัชมังคลาภิเษก,85,85,0,395,344,739,25,35,16,12,7,0,0
มัธยมวัดสิงห์,396,396,0,1528,1736,3264,88,97,56,28,13,0,0
วัดราชโอรส,315,310,5,1411,1518,2929,76,105,56,34,14,1,0
บางมดวิทยา,485,430,55,1107,1085,2192,52,62,32,19,11,0,0
สวนกุหลาบวิทยาลัยธนบุรี,234,234,0,1631,1540,3171,86,55,28,13,14,0,0
สตรีวัดมหาพฤฒารามในพระบรมราชินูปถัมภ์,297,272,25,0,2076,2076,56,78,66,2,10,0,0
พุทธจักรวิทยา,197,197,0,104,98,202,9,18,10,2,6,0,0
พระโขนงพิทยาลัย,137,52,0,873,820,1693,55,65,34,21,10,0,0
วชิรธรรมสาธิต,490,490,0,1393,1603,2996,75,90,58,23,8,1,0
นนทรีวิทยา,,,,1393,1603,2996,75,90,58,23,8,1,0
เจ้าพระยาวิทยาคม,124,94,30,169,118,287,13,13,1,5,7,0,0
สุรศักดิ์มนตรี,356,263,93,1520,1347,2867,75,110,54,26,30,0,0
กุนนทีรุทธารามวิทยาคม,205,205,0,322,358,680,25,19,12,6,1,0,0
วัดสุทธิวราราม,570,570,0,2876,0,2876,72,127,78,22,27,0,0
ยานนาเวศวิทยาคม,,,,2876,0,2876,72,127,78,22,27,0,0
สตรีศรีสุริโยทัย,417,417,0,0,1810,1810,52,67,45,15,7,0,0
ปทุมคงคา,177,171,6,1441,0,1441,59,61,41,12,8,0,0
สายน้ำผึ้งในพระอุปถัมภ์ฯ,563,84,479,0,2468,2468,72,116,80,30,6,0,0
มัธยมวัดธาตุทอง,252,250,2,697,768,1465,43,43,33,5,5,0,0
สิริรัตนาธร,,,,697,768,1465,43,43,33,5,5,0,0
รัตนโกสินทร์สมโภชบางเขน,205,157,48,1099,1228,2327,59,59,30,11,18,0,0
บางกะปิ,258,193,19,1379,1693,3072,78,77,43,25,9,0,0
สตรีเศรษฐบุตรบำเพ็ญ,624,624,0,0,2281,2281,57,94,72,13,9,0,0
มัธยมวัดหนองจอก,313,313,0,1196,1420,2616,69,85,37,28,20,0,0
เทพลีลา,376,376,0,1005,1075,2080,51,89,59,18,12,0,0
เศรษฐบุตรบำเพ็ญ,,,,1005,1075,2080,51,89,59,18,12,0,0
บดินทรเดชา (สิงห์ สิงหเสนี) ๔,410,220,50,825,940,1765,58,75,50,18,7,0,0
มัธยมวัดบึงทองหลาง,210,168,42,889,843,1732,56,66,48,11,7,0,0
พรตพิทยพยัต,364,308,0,1297,1515,2812,72,106,68,25,13,0,0
เทพศิรินทร์ร่มเกล้า,379,347,22,1462,1783,3245,78,115,63,34,18,0,0
รัตนโกสินทร์สมโภชลาดกระบัง,193,183,10,1159,1118,2277,66,84,59,19,6,0,0
จันทร์หุ่นบำเพ็ญ,175,130,45,378,359,737,38,34,21,4,9,0,0
เตรียมอุดมศึกษาพัฒนาการรัชดา,264,264,0,1071,1551,2622,64,95,81,7,7,0,0
นวมินทราชูทิศกรุงเทพมหานคร,442,442,0,1262,1380,2642,67,83,32,27,24,0,0
บดินทรเดชา (สิงห์ สิงหเสนี) ๒,224,224,0,1731,2074,3805,90,149,79,40,29,0,1
สุขุมนวพันธ์อุปถัมภ์,300,250,50,617,481,1098,38,49,30,5,14,0,0
หอวัง,528,528,0,1673,2193,3866,93,160,76,49,34,1,0
สารวิทยา,341,341,0,1213,1681,2894,73,121,82,23,16,0,0
ราชดำริ,204,204,0,1026,1069,2095,60,59,29,13,17,0,0
เตรียมอุดมศึกษาพัฒนาการ,341,323,18,1841,2396,4237,102,172,98,56,18,0,0
ดอนเมืองทหารอากาศบำรุง,400,380,20,1261,1433,2694,75,121,60,43,18,0,0
สีกัน(วัฒนานันท์อุปถัมภ์),224,42,1,851,1037,1888,54,80,47,23,10,0,0
ดอนเมืองจาตุรจินดา,,,,851,1037,1888,54,80,47,23,10,0,0
